Sender,Subject,Label,predicted_risk_level,predicted_risk_score,certainty_level,coordination_explanation,linguistic_risk_score,linguistic_certainty,technical_risk_score,technical_certainty,threat_intel_risk_score,threat_intel_certainty,processing_time_seconds,processed_timestamp,sender_missing,status
,ferc order,0,MEDIUM,0.4599999999999999,LOW,"Based on the email security analysis, this email presents a medium risk with low certainty, suggesting that while there are some concerning factors, the overall threat level is not definitively high. The primary contributors to this assessment are the Linguistic and Threat Intelligence agents; the Linguistic Agent flagged the email due to its detailed financial information and references to specific market notices, while the Threat Intelligence Agent identified a low-certainty match with known threat databases. Although the Technical Validation agent found no conclusive evidence of malicious content, the combination of specific financial details and the low-certainty threat match raises the overall risk score. The low certainty level indicates that further investigation is warranted to determine the true nature of this email.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.5,LOW,29.45,2025-11-16T21:48:17.418348,True,success
,entouch newsletter,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.36 and low certainty. The primary contributing factors to this assessment are the linguistic analysis, which detected some phishing-like language patterns with a risk score of 0.50, and the technical validation, which found minor inconsistencies with a risk score of 0.30. The Linguistic Agent identified potentially suspicious language, while the Technical Validation Agent noted some irregularities in the email's structure, although the Threat Intelligence Agent found no matches in known threat databases. The convergence of these indicators, along with the low certainty levels and the lack of threat intelligence matches, supports the low-risk assessment.",0.5,LOW,0.3,INCONCLUSIVE,0.0,LOW,40.36,2025-11-16T21:49:20.141060,True,success
,ces imbalances,0,MEDIUM,0.4599999999999999,LOW,"Based on the email security analysis, this email presents a medium risk with low certainty, suggesting it may be suspicious but not definitively malicious. The primary contributing factors are the unusual request for verification of imbalances and the lack of typical urgency language detected by the Linguistic Agent, along with a low certainty match in known threat databases identified by the Threat Intelligence Agent. The Linguistic Agent's findings of atypical phrasing and requests for further information converge with the Threat Intelligence Agent's low certainty match, indicating potential but not confirmed malicious intent. Specific evidence includes the Linguistic Agent's medium certainty level and the Threat Intelligence Agent's low certainty, contributing to an overall risk score of 0.46.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.5,LOW,18.84,2025-11-16T21:49:38.985986,True,success
,your confirmation is needed,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is LOW, with a risk score of 0.36 and low certainty. The PRIMARY contributing factor to this assessment is the Linguistic Agent, which detected no urgency, authority impersonation, or fear tactics typically associated with phishing emails, contributing a score of 0.30 to the final risk. The Technical Validation Agent found inconclusive evidence, while the Threat Intelligence Agent found no matches in known malware databases, both contributing minimally to the final score. The convergence of these indicators suggests that, while the email may not be overtly malicious, it warrants caution due to the inconclusive technical findings.",0.5,LOW,0.3,INCONCLUSIVE,0.0,LOW,19.61,2025-11-16T21:49:58.598593,True,success
,request submitted : access request for michael . mier @ enron . com,0,LOW,0.16,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment is low, with an inconclusive certainty level, indicating that while there are some concerning factors, they may not be definitive signs of a malicious email. The primary contributing factors to this assessment are the technical validation and threat intelligence agents, with the latter identifying a potential match in known malware databases, while the technical validation agent flagged some inconsistencies. The linguistic agent did not detect any phishing language, which helps to lower the overall risk score. Despite these findings, the low certainty level suggests that further investigation may be warranted to confirm the email's legitimacy, especially considering the sender's domain age and the URL's presence in threat databases.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.5,LOW,22.24,2025-11-16T21:50:20.839800,True,success
"""monkey.org Server Administrator""",Password Expired - monkey.org,1,MEDIUM,0.59676,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level. The primary contributing factor is the linguistic content, which the Linguistic Agent flagged with a high risk score of 0.99, indicating high urgency, authority impersonation, and a suspicious request to click a button. Although the Technical Validation and Threat Intelligence agents did not find any conclusive evidence, the linguistic indicators strongly suggest a potential phishing attempt, as the email claims to be from 'monkey.org Email Server Administrator' and urges immediate action to retain the current password. The convergence of these linguistic indicators points to a likely phishing attempt, despite the lack of technical or threat intelligence corroboration.",0.9946,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,13.32,2025-11-16T21:50:34.160793,False,success
,"see our page , save thousands on m e d s .",0,LOW,0.06,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.06 and an inconclusive certainty level. The primary contributing factor to this score is the Technical Validation Agent, which flagged the email due to the suspicious subject line formatting and the use of an internal sender address, although it couldn't definitively confirm malicious intent. The Linguistic Agent found no phishing language or suspicious content, and the Threat Intelligence Agent didn't find any matches in known malware databases or threat intelligence feeds. The indicators converge to suggest that while the email has some unusual technical aspects, there's not enough evidence to confirm it as a threat.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.0,LOW,15.54,2025-11-16T21:50:49.705237,True,success
,inter / intra gisb for enron north america,0,MEDIUM,0.4,LOW,"Based on the email security analysis, this email presents a medium risk, but with low certainty, indicating that while there are some concerning factors, the overall threat level is not high. The primary contributors to this assessment are the Linguistic and Threat Intelligence agents; the Linguistic Agent found no strong indicators of phishing or suspicious language, but the Threat Intelligence Agent identified that the URL matches known malware databases, which is a significant concern. Although the Linguistic Agent did not detect any phishing language, the convergence of the Threat Intelligence Agent's findings with the URL's presence in known malware databases raises the overall risk. The low certainty level suggests that further investigation is needed to confirm the threat, but users should exercise caution when interacting with the email and its contents.",0.5,LOW,0.0,INCONCLUSIVE,0.5,LOW,24.15,2025-11-16T21:51:13.859206,True,success
ICANN Domain Validation,ICANN: Domain ownership validation for monkey.org user(s),1,MEDIUM,0.69922,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to strong indicators of phishing detected by the Linguistic Agent. The Linguistic Agent identified high-confidence phishing language (0.9987), suspicious intent (0.9987), and urgent intent (0.7989), contributing significantly to the overall risk score. While the Technical Validation Agent found inconclusive technical issues and the Threat Intelligence Agent did not find any matches in known threat databases, the convergence of linguistic indicators strongly suggests a phishing attempt. The high confidence levels in the linguistic analysis (all above 0.79) warrant caution and further scrutiny of this email.",0.9987,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,32.34,2025-11-16T21:51:46.199536,False,success
,new employee,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.36 and low certainty. The primary contributing factor to this assessment is the linguistic content of the email, which the Linguistic Agent flagged for urgency, informal tone, and lack of specific details, contributing a risk score of 0.30. The Technical Validation Agent found inconclusive evidence, while the Threat Intelligence Agent found no matches in known threat databases, both contributing minimally to the final score. The indicators converge as the Linguistic Agent's findings of phishing-like language align with common tactics used in social engineering attacks, while the absence of technical and threat intelligence red flags suggests that this email, while suspicious, is not definitively malicious.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.0,LOW,23.25,2025-11-16T21:52:09.472445,True,success
"""monkey.org""",jose@monkey.org Account verification,1,MEDIUM,0.694,DEFINITIVE,"Based on our email security analysis, this message poses a medium risk, with a definitive level of certainty. The primary contributing factor is the linguistic content, which our advanced BERT model flagged with a very high phishing confidence score of 0.9948, detecting urgency tactics and authority impersonation. While the threat intelligence agent found no matches in known malware databases, the technical validation agent noted some inconclusive indicators. The convergence of these factors, particularly the strong linguistic red flags, leads us to assess this email as potentially malicious, likely attempting to impersonate the legitimate monkey.org team to trick you into verifying your account.",0.99,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,31.12,2025-11-16T21:52:40.594520,False,success
"""monkey.org SERVER""",Two (2 ) Messages Pending Delivery,1,MEDIUM,0.69982,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic indicators suggesting a phishing attempt. The Linguistic Agent identified high urgency, authority impersonation, and fear tactics, contributing significantly to the overall risk score. While the Technical Validation Agent found some inconclusive technical indicators, the Threat Intelligence Agent did not find any matches in known threat databases, which is why the overall risk is not higher. The convergence of these factors, particularly the strong linguistic red flags, suggests that this email is likely a phishing attempt aiming to manipulate the recipient into urgent action.",0.9997,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,40.59,2025-11-16T21:53:21.182566,False,success
,there she blows !,0,MEDIUM,0.6599525785446168,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic red flags identified by the Linguistic Agent. The Linguistic Agent detected a provocative subject line, exaggerated claims, and a suspicious link, contributing significantly to the overall risk score. While the Technical Validation Agent found no technical issues and the Threat Intelligence Agent did not find any matches in known threat databases, the strong linguistic indicators suggest this email could be a phishing attempt. The convergence of these factors, particularly the high confidence in the linguistic findings, warrants caution and further investigation.",0.9999209642410278,DEFINITIVE,0.3,INCONCLUSIVE,0.0,LOW,18.75,2025-11-16T21:53:39.936877,True,success
DocuSign via DocuSign,Complete with DocuSign: 2024-04-18 monkey.org Contract Agreement.pdf,1,LOW,0.32,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.32 and low certainty. The primary contributing factors to this assessment are the linguistic elements detected by the Linguistic Agent, which identified a generic greeting, a request to sign a document (pretexting), and subtle urgency, all of which are common indicators of phishing attempts. However, the Technical Validation Agent found no technical red flags, and the Threat Intelligence Agent did not find any matches in known malware databases, which significantly lowers the overall risk. The convergence of these indicators suggests that while the email contains some suspicious linguistic elements, it does not exhibit the technical or intelligence-based markers typically associated with high-risk threats.",0.5,LOW,0.1,DEFINITIVE,0.0,INCONCLUSIVE,47.23,2025-11-16T21:54:27.165932,False,success
Wells Frgo,Wells Frgo: Important account information,1,MEDIUM,0.6999321937561035,DEFINITIVE,"The email has been assessed as a MEDIUM risk, with a definitive certainty level, primarily due to strong indicators of phishing detected by the Linguistic Agent. This agent identified authority impersonation, fear tactics, and urgency, all contributing to a perfect risk score of 1.00. The Technical Validation Agent found some inconsistencies, but with inconclusive certainty, while the Threat Intelligence Agent did not find any matches in known threat databases. The convergence of linguistic red flags and the lack of technical or intelligence-based evidence suggests a likely phishing attempt, possibly from a newly created malicious domain.",0.999886989593506,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,48.29,2025-11-16T21:55:15.457119,False,success
Eugen Faeht via DocuSign,Please DocuSign: New Program,1,LOW,0.3399999999999999,MEDIUM,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.34 and a medium certainty level. The primary contributing factors to this assessment are the unusual sender name and the request to sign a document, both identified by the Linguistic Agent, which contributed a significant portion (0.30) to the final score. The Technical Validation Agent confirmed the email's technical aspects were valid, while the Threat Intelligence Agent found no matches in known threat databases, both of which helped lower the overall risk score. The convergence of these indicators, such as the Linguistic Agent's detection of phishing language and the Threat Intelligence Agent's lack of matches, provides a comprehensive view of the email's security posture.",0.5,MEDIUM,0.2,DEFINITIVE,0.0,LOW,44.46,2025-11-16T21:55:59.913206,False,success
,ready for a job in medicine bait - excelled @ em . ca,0,MEDIUM,0.65994,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level. The primary contributing factor is the linguistic content, which the Linguistic Agent flagged as highly suspicious, scoring a perfect 1.00. This agent detected phishing tactics such as bait in the subject line, urgency and reward language in the body, and multiple calls to action. While the Technical Validation and Threat Intelligence agents did not find significant issues, the strong linguistic indicators alone warrant caution, as they often correlate with phishing attempts.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.0,LOW,24.56,2025-11-16T21:56:24.472018,True,success
,dear,0,HIGH,0.75994,DEFINITIVE,"Based on the email security analysis, this email poses a high risk (score: 0.76) with a definitive certainty level, primarily due to the linguistic content. The Linguistic Agent identified a very high phishing confidence score (0.9999) from the BERT model, numerous spelling and grammatical errors, and explicit language, contributing significantly (0.60) to the final risk score. The Threat Intelligence Agent found a low certainty match (score: 0.50) with known threats, while the Technical Validation Agent's inconclusive results (score: 0.30) had minimal impact. The convergence of these indicators, particularly the strong linguistic red flags and partial threat intelligence matches, underscores the email's suspicious nature.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.5,LOW,19.96,2025-11-16T21:56:44.434674,True,success
,"dear friend ,",0,MEDIUM,0.65994,DEFINITIVE,"Email security analysis completed. Risk Score: 0.66 (MEDIUM). Multiple security agents analyzed this email using ML models, infrastructure validation, and threat intelligence databases. See detailed findings below for specific risk indicators.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.0,INCONCLUSIVE,27.27,2025-11-16T21:57:11.706729,True,success
Domain IT Support,New message from monkey.org server,1,MEDIUM,0.6985,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to the linguistic content. The Linguistic Agent identified high-risk factors such as impersonation of cPanel Customer Support, urgent threats of account suspension, and fear tactics, contributing significantly to the overall risk score. While the Technical Validation Agent found some inconclusive technical indicators, the Threat Intelligence Agent did not find any matches in known threat databases, which is why the overall risk is not higher. The convergence of these indicators, particularly the high linguistic risk, suggests that this email is likely a phishing attempt designed to manipulate the recipient into taking urgent action.",0.9975,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,31.32,2025-11-16T21:57:43.050756,False,success
"""monkey.org Mail Server""",Action Required : Revised Executed Agreement For jose,1,MEDIUM,0.6993999999999999,DEFINITIVE,"The email has been assessed as a medium risk, with a definitive certainty level, primarily due to strong indicators of a phishing attempt identified by the Linguistic Agent. This agent detected high-confidence phishing language (with a 0.9993 confidence score), authority impersonation through the use of ""monkey.org Team"" and Microsoft branding, and urgency indicated by the subject line. While the Technical Validation Agent found inconclusive evidence and the Threat Intelligence Agent did not find any matches in known threat databases, the linguistic red flags significantly contributed to the overall risk score. The convergence of these indicators suggests that this email is likely a targeted phishing attempt, despite the lack of technical or intelligence-based corroboration.",0.999,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,25.18,2025-11-16T21:58:08.235515,False,success
,whs / retail systems integration analysis - would like to discuss,0,MEDIUM,0.4599999999999999,MEDIUM,"Based on the email security analysis, this email presents a medium risk, with a 46% risk score and medium certainty. The primary contributing factors to this assessment are the linguistic indicators of urgency and pretexting, identified by the Linguistic Agent, and the low certainty matches found in known threat databases by the Threat Intelligence Agent. The Linguistic Agent detected phrases that attempt to create a sense of urgency and establish false credibility, while the Threat Intelligence Agent found low-certainty matches in malware databases, suggesting potential malicious intent. Although the Technical Validation Agent found no significant issues, the convergence of these indicators warrants caution and further investigation.",0.5,MEDIUM,0.3,LOW,0.5,LOW,38.91,2025-11-16T21:58:47.147173,True,success
"""Support-@monkey.org""",Delivery report- 6inbox messages suspended,1,HIGH,0.75988,DEFINITIVE,"Based on the email security analysis, this email poses a high risk (score: 0.76) and is definitively identified as a threat. The primary contributing factors are the linguistic red flags detected by the Linguistic Agent, which found high urgency, fear tactics, and authority impersonation, contributing a significant 0.60 to the final score. The Threat Intelligence Agent identified that the URL matches known malware databases, while the Technical Validation Agent found no significant technical issues, contributing minimally to the overall risk. The convergence of these indicators, particularly the linguistic manipulation and threat intelligence matches, strongly suggests this is a phishing attempt.",0.9998,DEFINITIVE,0.3,LOW,0.5,LOW,20.14,2025-11-16T21:59:07.283757,False,success
"""IT-Desk from monkey.org""","monkey.org Cpanel MAILBOX ALERT FOR jose Tuesday, October 24, 2023 10:53 a.m.",1,MEDIUM,0.6993999999999999,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic indicators suggesting a phishing attempt. The Linguistic Agent identified high urgency, authority impersonation, and fear tactics, contributing significantly to the overall risk score. While the Technical Validation Agent found inconclusive evidence and the Threat Intelligence Agent did not find any matches in known threat databases, the convergence of linguistic red flags strongly suggests this email is a potential phishing attempt. The email's use of urgency and fear, along with the impersonation of an IT desk, are classic phishing techniques, warranting caution.",0.999,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,49.66,2025-11-16T21:59:56.944125,False,success
"""monkey.org Mail Server Administrator""",One Time Password Authentication Required,1,MEDIUM,0.6995199999999999,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic red flags identified by the Linguistic Agent. The Linguistic Agent detected high urgency language, authority impersonation, and a suspicious request for password confirmation, all contributing to its maximum risk score. While the Technical Validation Agent found some inconclusive technical indicators, the Threat Intelligence Agent did not find any matches in known threat databases, resulting in a lower overall risk score. The convergence of these indicators, particularly the linguistic red flags, suggests this email is likely a phishing attempt, despite the lack of technical or intelligence-based evidence.",0.9992,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,45.43,2025-11-16T22:00:42.377614,False,success
,top quality drugs here,0,MEDIUM,0.65994,DEFINITIVE,"The email has been assessed as a MEDIUM risk, with a definitive certainty level, primarily due to strong indicators of phishing detected by the Linguistic Agent. The Linguistic Agent identified extremely high confidence (0.9999) in its BERT phishing model, high urgency indicators (0.7999), and offers of medications without a doctor's appointment, contributing significantly to the overall risk score. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the linguistic red flags alone warrant caution, as the combination of these factors strongly suggests a phishing attempt. The email's subject line and content align with common phishing tactics, and the high model confidence indicates a strong likelihood of malicious intent.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.0,LOW,23.17,2025-11-16T22:01:05.551927,True,success
,i must say thank you,0,MEDIUM,0.65994,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level. The primary contributing factor is the linguistic content, which our Linguistic Agent flagged as highly suspicious, detecting authority impersonation, urgency, and fear tactics. The Technical Validation Agent found inconclusive technical indicators, while the Threat Intelligence Agent did not find any matches in known threat databases. The convergence of these indicators, particularly the high-risk linguistic content, leads to the overall medium risk assessment.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.0,LOW,41.85,2025-11-16T22:01:47.401163,True,success
,signed draft from mark ?,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.36 and low certainty. The primary contributing factor to this assessment is the linguistic analysis, which detected no urgency, authority impersonation, or fear tactics, but still assigned a medium certainty risk score of 0.50. The technical validation and threat intelligence agents contributed minimally, with inconclusive and low certainty results respectively, and no matches found in known threat databases. The convergence of these indicators suggests that while the email's language is somewhat suspicious, the lack of technical red flags and threat intelligence matches lowers the overall risk assessment.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.0,LOW,21.22,2025-11-16T22:02:08.621799,True,success
"""Support/monkey.org""",Your current email password expires today,1,HIGH,0.71742,DEFINITIVE,"This email has been assessed as a high-risk phishing attempt with definitive certainty. The primary contributing factors are the linguistic red flags identified by the Linguistic Agent, such as the urgent password expiration claim, suspicious sender address format ('Support/monkey.org'), and numerous formatting and grammatical errors, which contributed a full point to the risk score. Additionally, the Threat Intelligence Agent found a low-certainty match with known malicious domains, adding to the overall risk. The convergence of these indicators, particularly the strong linguistic signals and the supporting threat intelligence data, strongly suggests this email is a phishing attempt designed to trick users into revealing sensitive information.",0.9957,DEFINITIVE,0.1,DEFINITIVE,0.5,LOW,20.78,2025-11-16T22:02:29.403718,False,success
ICANN Domain Validation,ICANN: Domain ownership validation for monkey.org user(s),1,MEDIUM,0.6997,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to the linguistic content. The Linguistic Agent identified several red flags, including impersonation of ICANN, the use of fear tactics, and an urgent deadline, all contributing to a perfect risk score in this category. While the Technical Validation Agent found some inconclusive technical indicators, the Threat Intelligence Agent did not find any matches in known threat databases, which is why the overall risk score is not higher. The convergence of these indicators, particularly the high-confidence linguistic findings, suggests that this email is likely a phishing attempt aiming to exploit users through psychological manipulation.",0.9995,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,33.37,2025-11-16T22:03:02.799547,False,success
Webmail Care Team,Outdated Version: Update now,1,HIGH,0.7306,DEFINITIVE,"Based on the email security analysis, this email poses a high risk (0.73) of being a phishing attempt, with definitive certainty. The primary contributing factors are the linguistic indicators detected by the Linguistic Agent, which identified high-confidence phishing language (0.951) using urgency (""Upgrade NOW"") and fear tactics (threat of account termination). The Technical Validation Agent supported this assessment with a risk score of 0.80, although it was inconclusive. The Linguistic Agent's findings converge with the email's content, as the use of time pressure and consequences aligns with known phishing strategies, while the Threat Intelligence Agent found no matches in known threat databases, which is not uncommon for new or evolving phishing campaigns.",0.951,DEFINITIVE,0.8,INCONCLUSIVE,0.0,INCONCLUSIVE,20.56,2025-11-16T22:03:23.361581,False,success
Soporte_Neftlx,Tu cuenta presenta problema de pago,1,HIGH,0.7993999999999999,DEFINITIVE,"Based on the email security analysis, this email presents a high risk (score: 0.80) and is definitively identified as a potential threat. The primary contributing factors are the linguistic indicators detected by the Linguistic Agent, which found strong signs of phishing, including urgency, fear tactics, and impersonation, contributing a full 0.60 to the final score. The Threat Intelligence Agent identified that the URL matches known malware databases, while the Technical Validation Agent found inconclusive technical indicators. These different indicators converge to paint a clear picture of a likely phishing attempt, with the linguistic red flags strongly supported by the threat intelligence findings.",0.999,DEFINITIVE,0.5,INCONCLUSIVE,0.5,LOW,21.13,2025-11-16T22:03:44.495335,False,success
